id;name;description;type;price
1;Loan;disintermediate;Biélorussie Borders;11062
2;plum;Toys Towels c;SCSI;98767
3;a transmitting;Saudi invoice Diverse;des a a;75858
4;Soap;deposit up Card;maroon;71935
5;b;Paris invoice Car;overriding Cotton Hat;23426
6;Progressive content;Faubourg-Saint-Denis Gold Gorgeous;panel Krona;55957
7;Pants Fish;attitude-oriented;e-tailers Metal des;36169
8;Montmorency;Saint-Séverin quantifying;Rustic;94171
9;value-added;white Cheese Cambridgeshire;Account;45247
10;Basse-Normandie de;methodologies Cameroun XSS;Saint-Denis;89306
