id;name;location;phone
1;Pa'anga mobile Buckinghamshire;Somoni;+33 408468852
2;toolset;Ball;+33 292740495
3;matrix generating;Technicien plum Rivoli;0555138642
4;solutions matrix Intelligent;Games Baby experiences;0146193061
5;channels capability SAS;global SMTP;+33 541428058
6;Norwegian program Reduced;world-class;+33 642689568
7;strategic conglomeration Table;Account Moldovan Agent;+33 208316574
8;synthesizing plum;transitional Card Concrete;+33 153179494
9;Soap;bluetooth parsing Account;0437014375
10;FTP state Plastic;Account Biélorussie Augustins;0709050778
